Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
61.5904,82.47218,1.785782,0.680477,1.051111,0.697441,0.706461,0.68472,1533.335
210.792,97.14599,1.555582,0.750896,0.831785,0.697482,0.693402,0.711143,1549.762
114.016,97.14599,1.555582,0.750896,0.831785,0.697482,0.693402,0.711143,1549.762
273.5808,94.61909,1.603267,0.720971,0.749798,0.697712,0.698853,0.69655,1535.98
302.5368,101.2982,1.608498,0.69918,0.722597,0.697769,0.69827,0.701755,1548.11
27.348,73.40276,1.373392,0.767719,0.785972,0.698006,0.740952,0.762697,1466.771
274.9524,92.55606,1.622332,0.734248,0.750709,0.698099,0.699704,0.704072,1560.452
276.1716,101.172,1.655477,0.728171,0.753327,0.698289,0.697691,0.695634,1560.335
286.23,98.78031,1.644843,0.70436,0.72197,0.6986,0.697235,0.697464,1567.541
274.3428,92.1366,1.634554,0.727086,0.752741,0.698651,0.704291,0.704993,1547.496
27.196,72.51909,1.357903,0.773029,0.789936,0.698795,0.741805,0.760908,1468.813
303.9084,95.48115,1.653196,0.725691,0.743836,0.698908,0.702243,0.706032,1547.878
274.1904,93.99448,1.59417,0.729107,0.744929,0.699568,0.702513,0.70582,1541.297
253.9212,107.8237,1.6312,0.741074,0.767739,0.699693,0.703967,0.70555,1559.512
113.9596,107.8237,1.6312,0.741074,0.767739,0.699693,0.703967,0.70555,1559.512
278.0004,96.93414,1.659466,0.738861,0.759881,0.699719,0.703281,0.708305,1566.603
254.0736,95.85398,1.64087,0.738636,0.767108,0.6998,0.701846,0.706054,1555.306
113.9596,95.85398,1.64087,0.738636,0.767108,0.6998,0.701846,0.706054,1555.306
273.8856,95.85445,1.581728,0.724801,0.748414,0.700623,0.701667,0.703795,1534.525
188.0824,88.64509,1.450667,1.162904,1.239478,0.70073,0.809306,0.854971,1573.238
113.9596,88.64509,1.450667,1.162904,1.239478,0.70073,0.809306,0.854971,1573.238
273.7332,93.64271,1.596088,0.720433,0.748355,0.700738,0.700881,0.696758,1535.767
276.0192,102.5909,1.654987,0.728611,0.741099,0.701221,0.704178,0.704813,1563.269
