Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
755.142,91.23016,2.06618,1.582018,1.620853,1.461789,1.473217,1.482307,1788.813
755.2944,88.97705,2.075535,1.588322,1.619612,1.457299,1.471817,1.48294,1804.199
755.4468,90.11845,2.077806,1.596029,1.63044,1.447033,1.467838,1.476315,1815.585
755.5992,90.62407,2.077633,1.600671,1.629745,1.441962,1.464731,1.4699,1831.512
755.7516,90.97186,2.072474,1.614969,1.634526,1.447502,1.470544,1.470258,1857.386
755.904,90.76639,2.084493,1.629503,1.640641,1.489891,1.495532,1.493282,1869.426
756.0564,89.057,2.091444,1.648241,1.649264,1.520123,1.518078,1.519747,1871.649
756.2088,88.90652,2.124082,1.647035,1.648914,1.586906,1.59037,1.603532,1860.691
756.3612,84.19342,2.144304,1.64698,1.654292,1.587782,1.605255,1.621031,1837.865
756.5136,84.54594,2.140914,1.641072,1.660834,1.510572,1.528752,1.538656,1820.857
756.666,84.19485,2.109046,1.6384,1.652104,1.473988,1.4869,1.489242,1813.494
756.8184,88.04486,2.109674,1.621343,1.648468,1.439149,1.451805,1.454928,1813.494
756.9708,91.50522,2.098959,1.554291,1.61722,1.389699,1.416586,1.422956,1813.494
757.1232,92.75578,2.096576,1.550354,1.602161,1.390176,1.415205,1.425509,1818.741
757.2756,91.26251,2.08989,1.548796,1.619743,1.398065,1.410912,1.421316,1822.934
757.428,90.34801,2.069395,1.537892,1.612083,1.394249,1.410245,1.417731,1817.687
757.5804,87.79332,2.076388,1.513795,1.600678,1.387738,1.403181,1.421321,1813.494
757.7328,89.38899,2.072296,1.513523,1.601588,1.39413,1.407722,1.418403,1815.585
757.8852,89.80154,2.077103,1.498818,1.607078,1.388113,1.398851,1.403284,1822.949
758.0376,93.26175,2.082233,1.528407,1.630285,1.384704,1.397587,1.395553,1822.949
758.19,92.78329,2.09239,1.542678,1.623953,1.379782,1.396168,1.393692,1815.585
758.3424,90.22562,2.093096,1.561354,1.652213,1.401251,1.405512,1.402203,1813.494
758.4948,89.02086,2.109129,1.583932,1.644387,1.505288,1.514848,1.515341,1813.494
