Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
712.1652,88.12553,2.085968,0.632531,0.586471,1.656009,1.668793,1.673597,1875.768
712.3176,87.70985,2.092844,0.67289,0.615473,1.685662,1.728017,1.805686,1878.341
712.47,89.40632,2.09993,0.723302,0.69622,1.697922,1.762937,1.896512,1880.58
712.6224,90.38742,2.096301,0.868723,0.815538,1.677832,1.819698,1.934989,1887.361
712.7748,91.0341,2.089092,0.945256,0.734957,1.643635,1.8418,2.007807,1882.894
712.9272,91.87746,2.091896,1.060672,0.729388,1.635775,1.800861,1.985684,1871.646
713.0796,90.16862,2.086125,1.145436,0.832665,1.688367,1.709128,1.949235,1870.536
713.232,86.21152,2.084383,1.119515,0.900904,2.136057,1.901754,1.714412,1869.426
713.3844,85.98943,2.079492,0.926628,0.996047,1.77563,2.01603,1.860526,1872.764
713.5368,83.14426,2.080574,0.705064,0.906666,1.672894,1.928632,1.866454,1873.874
713.6892,86.40845,2.087893,0.840639,0.683483,1.542105,1.802219,2.29003,1871.646
713.8416,80.77924,2.086944,0.650853,0.829527,1.363024,1.667437,1.999204,1871.646
713.994,83.14806,2.090173,0.686886,1.06382,1.551349,1.630595,1.752222,1871.646
714.1464,78.8502,2.088835,0.834035,1.1838,1.437659,1.469118,1.536377,1871.646
714.2988,83.08785,2.104194,0.745623,0.877509,1.565096,1.545928,1.559762,1871.646
714.4512,85.61237,2.083236,1.057856,0.845863,1.602869,1.951478,2.546389,1871.646
714.6036,90.057,2.087902,1.430231,1.075464,1.584261,1.853549,2.233016,1871.646
714.756,90.94572,2.093653,1.271785,1.099231,1.607467,1.782037,1.971223,1870.536
714.9084,86.72072,2.088102,1.362031,1.154344,1.654308,1.751132,1.856682,1869.426
715.0608,83.9985,2.085277,1.648205,1.019609,1.706347,1.751615,1.829551,1869.426
715.2132,87.02773,2.083192,1.647762,1.152463,1.592973,1.695131,1.821052,1869.426
715.3656,91.17215,2.08532,1.548216,1.401677,1.572003,1.654187,1.766818,1869.426
715.518,92.66018,2.096856,1.538637,1.554524,1.550992,1.606394,1.683129,1871.649
