GR,Vp,RES,RHOB
73.08425,1583.175,1.301446,1.916293
71.7434,1589.207,1.359871,1.905388
69.72184,1595.098,1.37124,1.907863
69.95,1599.001,1.335695,1.90628
70.35,1602.407,1.393482,1.917907
67.94675,1602.944,1.316209,1.911141
65.69468,1599.992,1.327607,1.905444
65.01646,1595.179,1.33066,1.901242
66.86738,1590.589,1.313496,1.91132
66.85992,1588.25,1.304868,1.922388
63.38625,1588.018,1.312041,1.923601
65.28411,1588.018,1.285471,1.908111
65.44064,1588.052,1.296655,1.898851
69.84026,1588.709,1.325035,1.904612
68.14472,1590.823,1.351772,1.90938
70.39772,1594.114,1.337746,1.920488
70.35,1596.795,1.331386,1.923315
69.725,1597.189,1.316264,1.936529
69.57276,1596.498,1.353168,1.926291
