Depth (mbsf),GR,RHOB,RES,Vp
69.7636,94.60664,1.853876,0.663165,1579.129
250.8148,89.59195,1.970755,0.66319,1587.157
214.0864,103.012,1.813456,0.663329,1572.844
105.73,86.27137,1.789329,0.663355,1523.226
52.6948,74.24816,1.620054,0.663632,1608.422
214.2388,105.6806,1.821471,0.663754,1573.207
296.7456,97.9696,1.58515,0.663987,1500.047
296.898,94.46045,1.584256,0.664023,1498.691
226.2784,67.32056,1.91672,0.66403,1562.559
220.4872,92.48875,1.744502,0.664034,1569.987
294.5536,108.3491,1.829486,0.664067,1573.618
214.3912,108.3491,1.829486,0.664067,1573.618
304.9168,100.5771,1.979982,0.664137,1581.761
245.4808,100.5771,1.979982,0.664137,1581.761
199.7608,87.90818,1.696958,0.664302,1521.547
214.5436,109.2008,1.830359,0.66438,1574.248
203.5708,90.54173,1.793467,0.664626,1517.835
200.218,88.84913,1.685393,0.664649,1515.978
54.9808,73.47744,1.40358,0.665258,1566.6
50.7136,78.70297,1.846839,0.665312,1576.041
65.8012,97.44009,1.98916,0.665473,1563.932
232.5268,102.0025,1.74528,0.665491,1536.079
245.3284,100.1471,1.985381,0.665919,1580.851
405.0436,68.08691,1.717307,0.665954,1574.375
205.7044,68.08691,1.717307,0.665954,1574.375
301.3176,89.62817,1.544447,0.666154,1487.431
268.036,71.70537,1.943452,0.666272,1605.527
199.9132,85.18437,1.708189,0.666362,1522.372
292.9356,85.61707,1.507086,0.666425,1520.366
425.008,69.34948,1.954443,0.666643,1600.917
204.3328,87.96064,1.744088,0.667431,1511.026
56.8096,53.14824,1.565333,0.667682,1561.286
232.6792,102.5415,1.740936,0.667708,1533.558
245.176,99.71706,1.990781,0.667708,1580.075
193.6648,24.04649,1.509818,0.66816,1528.088
61.534,79.97001,1.70782,0.668395,1549.476
513.4,70.64999,1.959682,0.668756,1662.89
233.2888,108.6753,1.741206,0.669076,1532.868
175.6816,107.1084,1.828893,0.669141,1540.515
55.1332,76.73644,1.34407,0.669346,1561.702
304.7644,99.28706,1.996181,0.669506,1579.243
245.0236,99.28706,1.996181,0.669506,1579.243
281.5996,105.6528,1.827944,0.669732,1540.514
175.5292,105.6528,1.827944,0.669732,1540.514
292.0212,75.93696,1.615089,0.669795,1510.236
300.8604,82.80053,1.543586,0.670102,1472.575
65.9536,100.2503,1.97022,0.670118,1565.443
54.0664,67.26572,1.895599,0.670231,1560.117
175.3768,104.4844,1.828392,0.670324,1540.771
56.6572,53.54293,1.568107,0.670554,1567.269
301.47,86.2013,1.538521,0.67076,1496.115
300.708,87.63857,1.562097,0.671086,1475.983
203.7232,93.93713,1.753456,0.671125,1515.647
244.8712,99.11265,1.999575,0.671312,1578.261
42.3316,76.09113,1.962277,0.671317,1582.209
196.2556,24.4732,1.485833,0.671389,1550.668
165.6232,91.43645,1.768951,0.671412,1531.607
298.7268,86.24954,1.560701,0.671573,1507.639
301.1652,88.05393,1.513495,0.671679,1478.485
257.9776,91.43195,1.771851,0.671689,1523.264
104.6632,91.43195,1.771851,0.671689,1523.264
296.5932,90.22752,1.586353,0.67175,1504.36
289.278,85.80201,1.524055,0.671938,1540.146
203.8756,89.73988,1.744747,0.671967,1513.84
190.6168,18.32292,1.48544,0.672216,1525.367
292.326,76.19993,1.530422,0.672232,1493.594
202.0468,94.95506,1.683378,0.672299,1534.8
57.5716,64.93779,1.55143,0.672365,1562.39
296.4408,94.83686,1.589209,0.672757,1520.42
205.552,68.24812,1.744192,0.673639,1572.029
289.4304,84.95255,1.515835,0.674035,1540.676
236.2408,87.56078,1.90653,0.674261,1577.496
212.5624,75.45168,1.809294,0.674578,1550.187
166.69,89.88991,1.76379,0.674731,1525.936
61.6864,81.70673,1.737051,0.674945,1539.726
292.6308,84.79624,1.487757,0.675177,1546.121
284.038,84.1009,1.805076,0.675732,1575.49
202.3516,79.28931,1.911909,0.675764,1582.625
297.0504,92.44029,1.568401,0.675811,1482.872
171.262,113.5092,1.855936,0.675915,1544.881
512.1808,71.16041,1.926156,0.675945,1673.555
296.2884,96.9393,1.587986,0.676024,1535.156
513.5524,76.57127,1.971637,0.676167,1664.173
50.866,71.08311,1.948684,0.676183,1587.339
289.1256,83.34554,1.537013,0.676254,1541.568
297.66,90.70624,1.555936,0.676291,1458.804
298.5744,76.28065,1.565381,0.676362,1512.319
232.3744,100.6609,1.734649,0.676662,1538.328
214.696,110.0525,1.831231,0.676856,1575.217
195.9508,26.59925,1.487475,0.677396,1527.549
403.9768,78.26977,1.915138,0.677674,1582.651
202.504,78.26977,1.915138,0.677674,1582.651
203.4184,87.14632,1.838174,0.677803,1523.149
175.2244,103.3161,1.828839,0.678014,1541.194
233.1364,102.1035,1.743322,0.678068,1532.991
118.7404,79.88007,1.744629,0.678088,1517.492
105.8824,86.3806,1.795153,0.678389,1520.202
70.0684,98.36584,1.861779,0.678406,1575.849
240.2992,88.68049,1.766402,0.678554,1559.039
293.088,88.07091,1.528017,0.678749,1498.561
200.3704,97.08244,1.691019,0.679272,1514.451
263.0068,69.01304,1.838361,0.679327,1566.827
424.5508,71.79563,1.946258,0.679376,1605.527
