Depth (mbsf),GR,Vp,RES,RHOB
70.5256,88.35663,1574.928,0.679503,1.838025
202.6564,78.22246,1581.774,0.679594,1.917018
210.2764,96.23849,1529.809,0.679616,1.726073
65.4964,95.70602,1573.014,0.679629,1.966382
298.8792,88.01737,1502.782,0.679759,1.558777
200.6752,93.18684,1520.187,0.679806,1.691285
51.628,78.67531,1577.136,0.679821,1.794866
70.3732,89.15701,1573.182,0.680369,1.844974
284.1904,85.86118,1573.47,0.680517,1.81027
301.0128,86.02808,1472.146,0.680818,1.52451
190.9216,20.44882,1536.795,0.680823,1.481885
164.7088,52.26547,1602.048,0.681004,1.584979
424.0936,70.85555,1563.039,0.681167,1.83577
262.8544,70.85555,1563.039,0.681167,1.83577
205.3996,68.40931,1569.776,0.681469,1.771078
61.8388,82.87301,1533.614,0.681607,1.748691
294.4012,100.3435,1572.359,0.681626,1.805441
213.934,100.3435,1572.359,0.681626,1.805441
288.9732,83.95351,1543.723,0.681952,1.560802
240.1468,87.92714,1555.63,0.681993,1.782038
298.2696,94.28808,1516.453,0.682166,1.560056
301.6224,93.35553,1505.255,0.682601,1.517161
51.7804,76.93292,1585.766,0.68282,1.568104
421.198,85.34155,1560.709,0.682923,1.942287
254.1676,85.34155,1560.709,0.682923,1.942287
280.228,115.8781,1545.198,0.68297,1.856108
171.4144,115.8781,1545.198,0.68297,1.856108
282.514,95.53461,1544.79,0.683114,1.846703
178.2724,95.53461,1544.79,0.683114,1.846703
178.12,96.21593,1544.069,0.683345,1.842666
177.9676,96.89725,1543.883,0.683576,1.838629
213.7816,97.24056,1571.638,0.683767,1.798038
258.4348,86.48983,1516.982,0.683784,1.800978
106.0348,86.48983,1516.982,0.683784,1.800978
282.3616,97.57856,1544.227,0.683808,1.834593
177.8152,97.57856,1544.227,0.683808,1.834593
298.422,91.55347,1515.376,0.683819,1.564328
177.6628,97.23331,1544.977,0.684039,1.830713
427.9036,80.78611,1608.107,0.684074,1.970976
55.5904,62.5429,1564.839,0.684123,1.468642
296.136,103.6855,1542.789,0.684193,1.584899
171.1096,111.1403,1544.534,0.684246,1.855765
177.5104,96.88806,1545.877,0.684271,1.826833
196.7128,97.14162,1509.643,0.684327,1.715108
282.2092,96.54282,1546.617,0.684503,1.822953
177.358,96.54282,1546.617,0.684503,1.822953
58.0288,61.89544,1558.513,0.684659,1.549269
114.112,105.1203,1516.112,0.684736,1.842696
200.5228,93.53239,1517.714,0.684859,1.699796
303.088,87.17379,1554.893,0.68546,1.797673
239.9944,87.17379,1554.893,0.68546,1.797673
293.2404,88.65067,1527.093,0.685498,1.558194
213.6292,94.13762,1570.655,0.68567,1.790634
171.5668,113.9746,1545.409,0.685687,1.854389
297.8124,93.87071,1457.847,0.685829,1.544337
51.9328,71.85166,1598.712,0.685847,1.405005
107.7112,91.7122,1520.732,0.685885,1.856939
295.2216,91.5897,1555.098,0.686026,1.578086
295.374,91.39578,1556.613,0.686032,1.579354
223.2304,90.63586,1572.077,0.686449,1.766258
107.5588,93.59887,1520.512,0.68653,1.855584
55.438,69.10224,1566.32,0.686563,1.358081
