Depth (mbsf),GR,Vp,RES,RHOB
75.8952,68.75175,1547.043,1.13054,1.79117
76.0476,65.51694,1541.088,1.131526,1.774581
76.2,62.06325,1542.146,1.152788,1.773039
76.3524,61.23574,1543.206,1.054271,1.744675
76.5048,60.03209,1544.266,1.031986,1.735282
76.6572,58.22662,1545.328,1.063271,1.744177
76.8096,56.12022,1546.392,1.096668,1.772134
76.962,55.66885,1547.457,1.094415,1.75596
77.1144,51.75247,1548.524,1.074068,1.728836
77.2668,49.11699,1549.278,1.075303,1.715356
77.4192,50.62156,1549.278,1.062375,1.727755
77.5716,54.08656,1549.278,1.038942,1.73766
77.724,55.06703,1549.278,1.0251,1.748804
77.8764,50.99978,1549.278,1.012115,1.751481
78.0288,49.41999,1549.278,1.028069,1.748838
78.1812,49.71568,1546.366,1.038281,1.743844
78.3336,47.4594,1542.884,1.044593,1.748187
78.486,48.13645,1539.418,1.052975,1.73471
78.6384,47.23893,1535.968,1.051293,1.736618
78.7908,46.94239,1532.958,1.030804,1.739331
78.9432,45.88919,1540.71,1.044669,1.729661
79.0956,48.44695,1549.074,1.05863,1.71722
79.248,52.65973,1551.25,1.039259,1.717685
79.4004,58.74975,1553.432,1.122482,1.747628
79.5528,62.20374,1555.62,1.169282,1.803823
79.7052,68.89497,1557.78,1.185954,1.851403
79.8576,69.12411,1559.167,1.188615,1.865082
80.01,65.21292,1560.556,1.185489,1.860725
80.1624,67.24034,1561.948,1.208682,1.86705
80.3148,66.78898,1563.342,1.186186,1.856673
80.4672,70.70667,1564.738,1.211529,1.857664
80.6196,68.90165,1566.137,1.254074,1.874031
80.772,68.67596,1564.617,1.275988,1.885153
80.9244,70.78235,1562.834,1.279567,1.894311
81.0768,69.36038,1561.053,1.26334,1.889754
81.2292,70.33835,1559.278,1.222739,1.886504
81.3816,68.15673,1557.72,1.222418,1.880828
81.534,68.98424,1557.72,1.270795,1.871135
81.6864,71.08681,1557.72,1.275688,1.879297
81.8388,75.36726,1557.72,1.270655,1.880595
81.9912,73.03519,1557.72,1.279125,1.877616
82.1436,74.53612,1557.72,1.279272,1.888552
82.296,71.53455,1557.72,1.293575,1.897982
82.4484,75.6685,1554.167,1.299398,1.891699
82.6008,72.5097,1554.167,1.281811,1.908967
82.7532,72.5781,1557.239,1.238024,1.906857
82.9056,68.2122,1554.167,1.224222,1.90147
83.058,68.21541,1554.167,1.229407,1.863732
83.2104,70.84774,1554.167,1.244412,1.880573
83.3628,74.61179,1551.108,1.24101,1.882888
83.5152,74.84091,1546.542,1.232876,1.90298
83.6676,73.34026,1540.495,1.18323,1.929351
83.82,71.23083,1551.108,1.138901,1.91299
83.9724,72.86653,1557.239,1.121444,1.897189
84.1248,72.04259,1554.167,1.163123,1.88941
84.2772,71.89883,1554.167,1.126211,1.889446
84.4296,70.48882,1554.167,1.150663,1.897691
84.582,69.04958,1551.108,1.165763,1.901133
84.7344,68.44775,1554.167,1.188187,1.921701
84.8868,68.44396,1557.239,1.210464,1.918674
85.0392,70.55317,1563.418,1.240765,1.901594
85.1916,71.82871,1563.418,1.280372,1.894855
85.344,72.43434,1563.418,1.30042,1.898829
