GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
64.92718,1.857428,1.052249,1.086878,1.050587,1.055605,1.060137,1537.988
65.16845,1.861601,1.053386,1.087564,1.048684,1.054848,1.05928,1537.817
64.94345,1.864317,1.051908,1.087387,1.046756,1.052066,1.05582,1537.655
64.71844,1.867033,1.050432,1.08721,1.044831,1.049291,1.05237,1537.574
64.49345,1.869749,1.048958,1.087033,1.04291,1.046523,1.048932,1537.672
64.86697,1.865229,1.048255,1.085483,1.040629,1.044151,1.044932,1537.979
65.24049,1.860709,1.047552,1.083935,1.038353,1.041784,1.040948,1538.377
65.61402,1.856188,1.04685,1.082389,1.036082,1.039422,1.036979,1538.646
66.89642,1.856993,1.044709,1.080252,1.032643,1.035318,1.032598,1538.614
68.17881,1.857797,1.042573,1.078119,1.029215,1.031229,1.028236,1538.267
69.4612,1.858602,1.04044,1.07599,1.025799,1.027157,1.023893,1537.751
69.9612,1.85623,1.036409,1.079212,1.025464,1.025151,1.023529,1537.246
70.4612,1.853859,1.032393,1.082445,1.025129,1.023149,1.023166,1536.845
70.9612,1.851487,1.028393,1.085686,1.024794,1.021151,1.022803,1536.544
71.23008,1.852198,1.026228,1.082186,1.024043,1.01994,1.021619,1536.328
71.49895,1.85291,1.024068,1.078698,1.023292,1.01873,1.020437,1536.225
71.76783,1.853621,1.021912,1.07522,1.022541,1.017522,1.019256,1536.234
71.89522,1.852245,1.020267,1.076396,1.01871,1.013515,1.014825,1536.286
72.02261,1.85087,1.018625,1.077573,1.014893,1.009523,1.010413,1536.302
72.14999,1.849494,1.016986,1.078752,1.01109,1.005547,1.006021,1536.276
72.77499,1.852157,1.015413,1.07271,1.009061,1.003634,1.004719,1536.263
73.39999,1.854819,1.013843,1.066702,1.007036,1.001725,1.00342,1536.293
74.02499,1.857482,1.012275,1.060728,1.005016,0.999819,1.002122,1536.334
74.17268,1.864186,1.011346,1.062151,1.003977,0.999923,1.001586,1536.322
74.32037,1.870891,1.010418,1.063576,1.00294,1.000027,1.001049,1536.196
74.46805,1.877596,1.009491,1.065003,1.001903,1.000131,1.000513,1535.95
74.16687,1.874623,1.010196,1.066593,0.99774,0.997046,0.997731,1535.644
73.86569,1.87165,1.010902,1.068186,0.993593,0.99397,0.994957,1535.366
73.56451,1.868678,1.011609,1.069782,0.989464,0.990904,0.992191,1535.169
72.61452,1.868858,1.013631,1.069059,0.988849,0.990919,0.993242,1535.066
71.66451,1.869038,1.015656,1.068337,0.988234,0.990933,0.994294,1535.067
70.71452,1.869218,1.017686,1.067615,0.98762,0.990947,0.995348,1535.214
70.49183,1.865526,1.020201,1.068721,0.988851,0.991343,0.996241,1535.563
70.26914,1.861835,1.022721,1.069829,0.990084,0.991739,0.997135,1536.118
70.04646,1.858144,1.025249,1.070937,0.991319,0.992135,0.99803,1536.826
69.27264,1.858858,1.026738,1.071993,0.998021,0.999511,1.004102,1537.639
68.49882,1.859572,1.028229,1.073049,1.004769,1.006942,1.01021,1538.531
67.725,1.860286,1.029723,1.074106,1.011562,1.014428,1.016356,1539.442
67.075,1.858892,1.032223,1.076271,1.017587,1.021062,1.024001,1540.243
66.425,1.857498,1.034729,1.07844,1.023648,1.027738,1.031703,1540.788
65.775,1.856104,1.037241,1.080613,1.029745,1.034459,1.039464,1541.021
65.14883,1.860393,1.039439,1.079597,1.031297,1.036585,1.041553,1540.996
64.52267,1.864682,1.041641,1.078582,1.032851,1.038716,1.043646,1540.845
63.8965,1.868971,1.043848,1.077567,1.034408,1.040851,1.045744,1540.696
63.59649,1.872362,1.045947,1.08314,1.030473,1.037635,1.044056,1540.641
63.29649,1.875754,1.04805,1.088741,1.026552,1.034428,1.042371,1540.718
62.99649,1.879145,1.050157,1.094371,1.022647,1.031232,1.040688,1540.915
63.62149,1.883493,1.048472,1.0915,1.026546,1.034373,1.042612,1541.177
64.24649,1.88784,1.046789,1.088636,1.03046,1.037524,1.044539,1541.423
64.87149,1.892188,1.045109,1.08578,1.034389,1.040684,1.046469,1541.578
64.67266,1.893731,1.044768,1.087153,1.031395,1.039045,1.044652,1541.567
64.47382,1.895274,1.044428,1.088527,1.028409,1.037408,1.042838,1541.29
64.27499,1.896817,1.044088,1.089903,1.025432,1.035773,1.041028,1540.636
63.8,1.891734,1.045542,1.087905,1.025842,1.03632,1.041457,1539.589
63.32499,1.88665,1.046998,1.085911,1.026252,1.036868,1.041886,1538.371
62.84999,1.881566,1.048456,1.08392,1.026662,1.037415,1.042315,1537.377
62.39788,1.872467,1.049152,1.085422,1.024714,1.033505,1.038394,1536.912
61.94576,1.863367,1.049849,1.086926,1.022769,1.02961,1.034489,1536.967
61.49364,1.854268,1.050546,1.088432,1.020828,1.02573,1.030598,1537.297
61.42698,1.852516,1.050621,1.087186,1.019442,1.022729,1.029595,1537.667
61.36031,1.850763,1.050695,1.085943,1.018058,1.019737,1.028592,1537.979
61.29364,1.849011,1.05077,1.0847,1.016675,1.016754,1.027591,1538.251
61.99259,1.85233,1.04944,1.084334,1.021401,1.021951,1.034039,1538.528
62.69153,1.85565,1.04811,1.083969,1.026149,1.027175,1.040527,1538.79
63.39048,1.858969,1.046783,1.083604,1.03092,1.032426,1.047056,1538.957
64.24259,1.866099,1.04552,1.081612,1.029516,1.035882,1.050686,1538.966
65.09471,1.873228,1.044258,1.079624,1.028114,1.03935,1.054328,1538.831
65.94683,1.880358,1.042998,1.077639,1.026714,1.04283,1.057983,1538.628
66.79683,1.876365,1.04307,1.082089,1.024488,1.041263,1.055325,1538.428
67.64683,1.872373,1.043142,1.086556,1.022267,1.039698,1.052674,1538.26
68.49683,1.86838,1.043214,1.091043,1.02005,1.038136,1.05003,1538.107
68.87178,1.868003,1.039422,1.088919,1.010891,1.027658,1.037729,1537.941
69.24673,1.867627,1.035644,1.086799,1.001814,1.017285,1.025573,1537.765
69.62168,1.867251,1.03188,1.084684,0.992819,1.007017,1.013559,1537.607
69.14452,1.860696,1.031824,1.08328,0.993969,1.004975,1.011145,1537.474
68.66735,1.854141,1.031768,1.081879,0.995121,1.002938,1.008737,1537.347
68.19019,1.847586,1.031712,1.080479,0.996274,1.000904,1.006335,1537.208
68.73185,1.848487,1.032084,1.079993,0.992166,0.99623,1.002045,1537.066
69.27352,1.849388,1.032456,1.079508,0.988075,0.991578,0.997772,1536.95
69.81519,1.850289,1.032829,1.079023,0.984001,0.986948,0.993518,1536.891
69.49129,1.850865,1.033615,1.075259,0.991467,0.996286,1.002858,1536.896
69.1674,1.851442,1.034402,1.071508,0.998989,1.005712,1.012286,1536.95
68.84351,1.852018,1.035189,1.06777,1.006569,1.015227,1.021802,1537.025
70.34567,1.855242,1.033234,1.069117,1.009497,1.017533,1.023063,1537.098
71.84784,1.858466,1.031283,1.070466,1.012434,1.019844,1.024326,1537.161
73.35,1.86169,1.029335,1.071816,1.01538,1.022161,1.02559,1537.222
72.2,1.861852,1.030716,1.071957,1.017063,1.02317,1.026806,1537.29
71.05,1.862014,1.032099,1.072098,1.01875,1.024179,1.028022,1537.364
69.9,1.862176,1.033484,1.07224,1.020439,1.02519,1.029241,1537.431
70.47383,1.859161,1.033458,1.072045,1.02273,1.026543,1.029956,1537.491
71.04766,1.856145,1.033433,1.07185,1.025027,1.027898,1.030671,1537.553
71.62149,1.85313,1.033407,1.071655,1.027329,1.029254,1.031386,1537.625
70.81692,1.853126,1.034461,1.072873,1.028111,1.029977,1.032833,1537.706
70.01234,1.853123,1.035517,1.074093,1.028894,1.0307,1.034282,1537.791
69.20777,1.853119,1.036573,1.075314,1.029677,1.031424,1.035732,1537.889
69.63171,1.857816,1.037644,1.074808,1.029796,1.032171,1.036284,1538.023
70.05566,1.862513,1.038715,1.074301,1.029915,1.032918,1.036836,1538.204
70.47961,1.86721,1.039788,1.073795,1.030034,1.033666,1.037388,1538.406
69.42875,1.86904,1.040166,1.075078,1.029305,1.033959,1.037644,1538.586
68.37789,1.87087,1.040545,1.076362,1.028576,1.034252,1.0379,1538.712
67.32703,1.872701,1.040924,1.077648,1.027847,1.034544,1.038156,1538.796
66.88161,1.87493,1.041036,1.078647,1.027243,1.033652,1.037157,1538.859
66.43618,1.87716,1.041147,1.079646,1.026639,1.03276,1.036159,1538.914
65.99075,1.879389,1.041259,1.080646,1.026036,1.031869,1.035162,1538.968
64.98986,1.872851,1.041627,1.081565,1.026377,1.032368,1.03643,1539.026
63.98896,1.866314,1.041994,1.082485,1.026718,1.032867,1.0377,1539.1
62.98807,1.859776,1.042362,1.083405,1.027058,1.033367,1.038972,1539.197
63.23801,1.863573,1.044022,1.084734,1.024729,1.030704,1.036316,1539.298
63.48795,1.86737,1.045685,1.086065,1.022405,1.028047,1.033667,1539.366
63.73788,1.871167,1.047351,1.087397,1.020085,1.025398,1.031025,1539.352
64.53789,1.873444,1.046508,1.086421,1.022998,1.028763,1.034646,1539.227
65.33788,1.875721,1.045666,1.085446,1.025918,1.032139,1.03828,1539.033
66.13789,1.877997,1.044825,1.084472,1.028847,1.035526,1.041927,1538.919
66.53877,1.878987,1.046475,1.087382,1.030137,1.037857,1.04406,1539.047
66.93967,1.879976,1.048128,1.090301,1.031428,1.040192,1.046197,1539.406
67.34055,1.880965,1.049784,1.093227,1.03272,1.042533,1.048338,1539.791
66.84264,1.877975,1.049787,1.09395,1.029983,1.039083,1.045725,1539.973
66.34473,1.874986,1.049791,1.094673,1.027253,1.035645,1.043118,1539.891
65.84681,1.871996,1.049794,1.095396,1.02453,1.032218,1.040518,1539.69
63.89681,1.869428,1.050828,1.098982,1.01626,1.022613,1.030052,1539.611
61.94681,1.86686,1.051864,1.10258,1.008057,1.013098,1.019692,1539.793
59.99681,1.864293,1.0529,1.10619,0.999919,1.003672,1.009436,1540.173
59.9218,1.869653,1.053195,1.102519,1.006921,1.010417,1.016773,1540.584
59.84679,1.875014,1.053491,1.098859,1.013972,1.017206,1.024163,1540.914
59.77177,1.880375,1.053786,1.095212,1.021072,1.024042,1.031607,1541.15
59.97177,1.876682,1.054538,1.096972,1.023802,1.027943,1.035338,1541.292
60.17177,1.872988,1.05529,1.098734,1.026538,1.031859,1.039082,1541.303
60.37177,1.869294,1.056043,1.1005,1.029282,1.03579,1.04284,1541.127
61.24677,1.866565,1.0555,1.10077,1.028567,1.034811,1.04179,1540.771
62.12177,1.863837,1.054958,1.10104,1.027851,1.033832,1.04074,1540.32
62.99678,1.861108,1.054415,1.10131,1.027137,1.032855,1.039692,1539.894
63.42061,1.855515,1.056909,1.103255,1.028115,1.033784,1.040025,1539.56
63.84445,1.849922,1.059409,1.105204,1.029093,1.034714,1.040357,1539.315
