Depth (mbsf),GR,RHOB,RES,Vp
63.7032,65.06931,1.706681,1.060904,1545.47
63.8556,63.48644,1.718799,1.056291,1531.654
64.008,62.42757,1.719669,1.055486,1518.083
64.1604,60.99843,1.731577,1.067431,1524.49
64.3128,58.29329,1.733018,1.201885,1524.49
64.4652,60.47742,1.738629,1.265903,1524.49
64.6176,60.7782,1.735337,1.280341,1524.49
64.77,66.56408,1.764911,1.213413,1524.49
64.9224,71.75077,1.76158,1.082211,1537.735
65.0748,75.96655,1.782706,1.047915,1551.983
65.2272,76.42462,1.779704,1.060351,1566.026
65.3796,74.47591,1.759123,1.046841,1552.348
65.532,78.83914,1.733136,1.06947,1550.866
65.6844,77.25934,1.735192,1.053536,1531.668
65.8368,76.87991,1.743338,1.059397,1512.94
65.9892,72.21576,1.736992,1.095605,1513.568
66.1416,72.35977,1.732076,1.080478,1520.475
66.294,71.22829,1.734918,1.073471,1527.446
66.4464,68.21915,1.73979,1.072139,1534.481
66.5988,68.45129,1.745486,1.078028,1541.562
66.7512,65.52066,1.754217,1.087885,1548.526
66.9036,66.1225,1.755072,1.107341,1544.961
67.056,64.23895,1.737677,1.073475,1540.153
67.2084,63.86589,1.725597,1.066233,1535.375
67.3608,59.95403,1.732145,1.058332,1534.225
67.5132,57.47433,1.744555,1.032006,1537.87
67.6656,53.70803,1.727935,1.015078,1540.926
67.818,52.20347,1.716399,1.021826,1532.664
67.9704,52.20347,1.701674,1.071074,1534.17
68.1228,55.5184,1.705145,1.141676,1539.198
68.2752,59.87851,1.718734,1.109995,1544.259
68.4276,63.9341,1.739836,1.120608,1549.354
68.58,65.53683,1.757677,1.12729,1554.483
68.7324,64.11062,1.76229,1.10289,1554.172
68.8848,60.88255,1.756423,1.091217,1544.714
69.0372,60.32702,1.741697,1.072045,1535.371
69.1896,58.37109,1.751762,1.072859,1540.299
69.342,59.34906,1.77648,1.066582,1551.213
69.4944,60.02906,1.788319,1.061244,1562.282
69.6468,61.60886,1.780244,1.047347,1561.082
69.7992,60.25163,1.776811,1.061868,1553.124
69.9516,59.72174,1.778885,1.095899,1545.246
70.104,60.62447,1.783195,1.109039,1546.323
70.2564,64.46423,1.78651,1.109591,1548.228
70.4088,65.81831,1.781603,1.15032,1550.165
70.5612,68.07216,1.813604,1.157611,1552.14
70.7136,67.54556,1.843138,1.130228,1554.119
70.866,68.75558,1.863388,1.108072,1556.104
71.0184,73.7158,1.863641,1.212243,1557.72
71.1708,74.69019,1.845798,1.13944,1557.72
71.3232,77.84978,1.814438,1.102662,1562.985
71.4756,74.24664,1.808294,1.151369,1562.302
71.628,74.17498,1.79813,1.212672,1552.248
71.7804,74.02453,1.806217,1.232768,1542.322
71.9328,71.39155,1.808641,1.159226,1537.111
72.0852,71.38467,1.82075,1.328094,1532.69
72.2376,69.42181,1.839432,1.33882,1551.287
72.39,70.1741,1.828004,1.393424,1570.482
72.5424,68.22505,1.839465,1.463648,1590.158
72.6948,64.01302,1.863942,1.462034,1610.333
72.8472,61.97561,1.870143,1.281498,1598.302
72.9996,61.97561,1.869597,1.447631,1559.219
73.152,64.99091,1.822562,1.347036,1555.472
73.3044,70.10515,1.826032,1.302456,1551.744
73.4568,71.60263,1.849483,1.2586,1551.297
73.6092,74.6041,1.859432,1.237871,1557.341
73.7616,75.20577,1.863776,1.318835,1563.432
73.914,77.46969,1.838673,1.235737,1572.593
74.0664,73.10755,1.831351,1.441738,1583.953
74.2188,72.51338,1.813707,1.527669,1588.676
74.3712,67.24741,1.759188,1.557731,1584.732
74.5236,67.254,1.714633,1.510818,1549.401
74.676,63.71827,1.743831,1.506843,1560.945
74.8284,63.56782,1.800676,1.397944,1576.859
74.9808,62.21371,1.825355,1.341312,1592.431
75.1332,63.34213,1.79501,1.237397,1592.279
75.2856,63.63699,1.757013,1.222358,1581.257
75.438,66.78984,1.760664,1.225688,1570.387
75.5904,67.46689,1.769651,1.194945,1561.687
75.7428,70.47527,1.792176,1.123332,1554.331
75.8952,68.75175,1.79117,1.13054,1547.043
76.0476,65.51694,1.774581,1.131526,1541.088
76.2,62.06325,1.773039,1.152788,1542.146
76.3524,61.23574,1.744675,1.054271,1543.206
76.5048,60.03209,1.735282,1.031986,1544.266
76.6572,58.22662,1.744177,1.063271,1545.328
76.8096,56.12022,1.772134,1.096668,1546.392
76.962,55.66885,1.75596,1.094415,1547.457
77.1144,51.75247,1.728836,1.074068,1548.524
77.2668,49.11699,1.715356,1.075303,1549.278
77.4192,50.62156,1.727755,1.062375,1549.278
77.5716,54.08656,1.73766,1.038942,1549.278
77.724,55.06703,1.748804,1.0251,1549.278
77.8764,50.99978,1.751481,1.012115,1549.278
78.0288,49.41999,1.748838,1.028069,1549.278
78.1812,49.71568,1.743844,1.038281,1546.366
78.3336,47.4594,1.748187,1.044593,1542.884
78.486,48.13645,1.73471,1.052975,1539.418
78.6384,47.23893,1.736618,1.051293,1535.968
78.7908,46.94239,1.739331,1.030804,1532.958
78.9432,45.88919,1.729661,1.044669,1540.71
79.0956,48.44695,1.71722,1.05863,1549.074
79.248,52.65973,1.717685,1.039259,1551.25
79.4004,58.74975,1.747628,1.122482,1553.432
79.5528,62.20374,1.803823,1.169282,1555.62
79.7052,68.89497,1.851403,1.185954,1557.78
79.8576,69.12411,1.865082,1.188615,1559.167
80.01,65.21292,1.860725,1.185489,1560.556
80.1624,67.24034,1.86705,1.208682,1561.948
80.3148,66.78898,1.856673,1.186186,1563.342
80.4672,70.70667,1.857664,1.211529,1564.738
80.6196,68.90165,1.874031,1.254074,1566.137
80.772,68.67596,1.885153,1.275988,1564.617
80.9244,70.78235,1.894311,1.279567,1562.834
81.0768,69.36038,1.889754,1.26334,1561.053
