Depth (mbsf),GR,Vp,RES,RHOB
86.868,71.98125,1591.844,1.452333,1.925183
87.0204,71.23185,1591.844,1.405735,1.939261
87.1728,69.58016,1585.438,1.37763,1.938798
87.3252,69.04782,1580.668,1.367654,1.928502
87.4776,68.59386,1580.668,1.316556,1.920174
87.63,70.25161,1580.668,1.458985,1.924207
87.7824,68.54835,1580.668,1.622504,1.909347
87.9348,69.85387,1580.668,1.676239,1.910311
88.0872,68.64729,1585.438,1.857079,1.908084
88.2396,69.90495,1585.438,1.601723,1.903492
88.392,68.1538,1580.668,1.496864,1.895566
88.5444,70.86495,1577.503,1.466061,1.900028
88.6968,72.67043,1577.503,1.393381,1.908877
88.8492,74.66792,1583.845,1.397762,1.912491
89.0016,73.83752,1585.438,1.468594,1.907533
89.154,73.83752,1591.844,1.34074,1.892413
89.3064,71.2006,1595.067,1.207533,1.891892
89.4588,69.19645,1595.067,1.40401,1.896757
89.6112,65.88641,1591.844,1.383752,1.901259
89.7636,66.87012,1591.844,1.423173,1.911883
89.916,67.5948,1588.635,1.43898,1.910358
90.0684,69.16785,1585.438,1.440819,1.928432
90.2208,70.3999,1582.255,1.40638,1.907422
90.3732,72.11859,1588.635,1.374469,1.919141
90.5256,73.85302,1598.302,1.369471,1.923693
90.678,75.9594,1588.635,1.382359,1.95428
90.8304,74.17989,1591.844,1.336286,1.943886
90.9828,74.3067,1595.067,1.372234,1.937991
91.1352,74.08089,1591.844,1.389469,1.923734
91.2876,74.06657,1577.503,1.385598,1.920278
91.44,74.76982,1577.503,1.336438,1.918271
91.5924,71.98667,1591.844,1.440086,1.929373
91.7448,71.15546,1591.844,1.477659,1.944409
91.8972,68.06679,1591.844,1.823119,1.940105
92.0496,70.62785,1591.844,1.75689,1.932124
92.202,69.72787,1591.844,1.725617,1.928174
92.3544,69.27866,1591.844,1.602749,1.943321
92.5068,66.64233,1588.635,1.446185,1.946125
92.6592,70.00685,1591.844,1.332643,1.942861
92.8116,73.24383,1595.067,1.347701,1.939216
92.964,71.84291,1595.067,1.340398,1.941725
93.1164,69.38237,1591.844,1.630913,1.943534
93.2688,67.87456,1588.635,2.106432,1.93793
93.4212,71.12777,1588.635,2.02298,1.926705
93.5736,73.01156,1580.668,1.86921,1.934211
93.726,73.16222,1580.668,1.531517,1.922205
93.8784,72.96828,1585.438,1.462158,1.933172
94.0308,71.68941,1591.844,1.465034,1.933334
94.1832,71.81784,1591.844,1.666392,1.944889
94.3356,67.254,1591.844,1.743746,1.942197
94.488,66.49864,1588.635,1.720067,1.933056
94.6404,68.02828,1585.438,1.697771,1.919757
94.7928,72.062,1580.668,1.710461,1.927375
94.9452,70.62955,1580.668,1.727333,1.908167
95.0976,68.69407,1577.503,1.734073,1.928232
95.25,67.76756,1585.438,1.716369,1.934457
